iso-3,1960,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ATG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.66666666666666,433.3333333333333,650.0,866.6666666666666,1083.3333333333333,1300.0,1400.0,1500.0,8500.0,22000.0,25000.0,38200.0,46100.0,54000.0,86000.0,110000.0,112000.0,137000.0,135000.0,168000.0,176000.0,127000.0,114000.0,120000.0,176000.0,180000.0,184000.0,184000.0,184000.0
AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4420.0,31600.0,94500.0,185000.0,291000.0,497000.0,690000.0,1220000.0,2240000.0,3990000.0,4580000.0,4920000.0,6320000.0,8560000.0,11100000.0,12700000.0,14300000.0,16500000.0,18400000.0,19800000.0,21300000.0,22100000.0,22200000.0,22500000.0,23800000.0,24300000.0,24900000.0,25100000.0,25800000.0,26600000.0,26700000.0,27600000.0,27900000.0
AUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9760.0,19100.0,26200.0,36900.0,50700.0,73700.0,115000.0,172000.0,221000.0,278000.0,384000.0,599000.0,1160000.0,2290000.0,4250000.0,6120000.0,6540000.0,6740000.0,7270000.0,7990000.0,8660000.0,9280000.0,9910000.0,10800000.0,11400000.0,12200000.0,13000000.0,13600000.0,13300000.0,13000000.0,13500000.0,11100000.0,10900000.0,11000000.0,10700000.0
AZE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,6000.0,17000.0,40000.0,65000.0,370000.0,420000.0,730000.0,794000.0,1060000.0,1460000.0,2240000.0,3320000.0,4520000.0,6550000.0,7760000.0,9100000.0,10100000.0,10100000.0,10100000.0,10600000.0,10700000.0,10200000.0,10100000.0,10300000.0,10800000.0
BDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,378.0,564.0,561.0,619.0,620.0,800.0,16300.0,33400.0,52000.0,64000.0,101000.0,153000.0,200000.0,270000.0,481000.0,921000.0,1680000.0,1910000.0,2250000.0,2540000.0,3190000.0,5000000.0,5360000.0,5920000.0,6320000.0,6640000.0
BEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3800.0,7220.0,19200.0,30800.0,42900.0,51400.0,61500.0,67800.0,128000.0,235000.0,478000.0,974000.0,1760000.0,3190000.0,5630000.0,7700000.0,8100000.0,8610000.0,9130000.0,9600000.0,9850000.0,10700000.0,11300000.0,11800000.0,12200000.0,12500000.0,12300000.0,12300000.0,12700000.0,12800000.0,12600000.0,11400000.0,11400000.0,11500000.0
BEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.0,2710.0,4300.0,6290.0,7270.0,55500.0,125000.0,219000.0,236000.0,459000.0,596000.0,1060000.0,2050000.0,3630000.0,5030000.0,7070000.0,7770000.0,8410000.0,9630000.0,8660000.0,9320000.0,8890000.0,8770000.0,9460000.0,10300000.0
BFA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.0,1500.0,2730.0,5040.0,25200.0,76200.0,111000.0,238000.0,396000.0,634000.0,1020000.0,1860000.0,3020000.0,3820000.0,5710000.0,7680000.0,9980000.0,11200000.0,12500000.0,14400000.0,15400000.0,17900000.0,19300000.0,20400000.0
BGD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,500.0,1100.0,2500.0,4000.0,26000.0,75000.0,149000.0,279000.0,520000.0,1070000.0,1360000.0,2780000.0,9000000.0,19100000.0,34400000.0,44600000.0,51400000.0,67900000.0,84400000.0,97200000.0,117000000.0,127000000.0,131000000.0,136000000.0,151000000.0,162000000.0,166000000.0
BGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,6500.0,20900.0,26600.0,70000.0,127000.0,350000.0,738000.0,1550000.0,2600000.0,3500000.0,4730000.0,6240000.0,8250000.0,9900000.0,10400000.0,10500000.0,10200000.0,10500000.0,10800000.0,10500000.0,9490000.0,9190000.0,8970000.0,8530000.0,8390000.0,8130000.0
BHR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.0,1710.0,2890.0,4250.0,5150.0,7350.0,9680.0,11400.0,17600.0,27600.0,40100.0,58500.0,92100.0,133000.0,206000.0,300000.0,389000.0,443000.0,650000.0,767000.0,907000.0,1120000.0,1440000.0,1400000.0,1570000.0,1690000.0,2120000.0,2210000.0,2330000.0,2520000.0,2990000.0,2360000.0,2090000.0,1900000.0
BHS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920.0,2020.0,2600.0,2400.0,3250.0,4100.0,4950.0,6200.0,8070.0,15900.0,31500.0,60600.0,122000.0,122000.0,186000.0,228000.0,253000.0,374000.0,358000.0,359000.0,428000.0,299000.0,300000.0,287000.0,315000.0,311000.0,360000.0,354000.0,389000.0,426000.0
BIH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,9000.0,25200.0,52600.0,93400.0,445000.0,749000.0,1070000.0,1410000.0,1590000.0,1890000.0,2450000.0,3180000.0,3260000.0,3110000.0,3170000.0,3360000.0,3490000.0,3490000.0,3440000.0,3400000.0,3440000.0,3460000.0,3690000.0
BLR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0,1720.0,5900.0,6550.0,8170.0,12200.0,23500.0,49400.0,138000.0,463000.0,1120000.0,2240000.0,4100000.0,5960000.0,6960000.0,8130000.0,9690000.0,10300000.0,10700000.0,10700000.0,11100000.0,11400000.0,11400000.0,11400000.0,11400000.0,11600000.0,11600000.0
BLZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,832.0,1550.0,2180.0,2540.0,3540.0,6590.0,16800.0,39200.0,51700.0,60400.0,75000.0,96000.0,118000.0,118000.0,160000.0,162000.0,194000.0,222000.0,172000.0,175000.0,172000.0,212000.0,223000.0,239000.0,246000.0,255000.0
BMU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.33333333333334,496.6666666666667,745.0,1110.0,1440.0,1940.0,3400.0,5130.0,6320.0,7980.0,10300.0,12600.0,12800.0,13000.0,13300.0,30000.0,40000.0,49000.0,52700.0,60100.0,69000.0,79000.0,85000.0,88200.0,89600.0,91000.0,94300.0,59500.0,38000.0,63900.0,65000.0,65000.0,65000.0
BOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0,1550.0,2660.0,4060.0,7230.0,33400.0,118000.0,239000.0,420000.0,583000.0,780000.0,1020000.0,1280000.0,1800000.0,2420000.0,2880000.0,3250000.0,5040000.0,6460000.0,7180000.0,8350000.0,9490000.0,10400000.0,10500000.0,10200000.0,10100000.0,11000000.0,11400000.0,11400000.0
BRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,667.0,6700.0,32000.0,182000.0,574000.0,1290000.0,2500000.0,4550000.0,7370000.0,15000000.0,23200000.0,28700000.0,34900000.0,46400000.0,65600000.0,86200000.0,99900000.0,121000000.0,151000000.0,169000000.0,197000000.0,234000000.0,248000000.0,271000000.0,281000000.0,258000000.0,244000000.0,218000000.0,207000000.0,207000000.0
BRB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.0,796.0,1560.0,2970.0,4610.0,6280.0,8010.0,12000.0,20300.0,28500.0,53100.0,97200.0,140000.0,200000.0,206000.0,237000.0,258000.0,289000.0,337000.0,350000.0,348000.0,349000.0,308000.0,305000.0,335000.0,332000.0,330000.0,329000.0,312000.0
BRN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885.0,1770.0,3030.0,4100.0,8300.0,15600.0,35900.0,43500.0,45000.0,49100.0,66000.0,95000.0,143000.0,154000.0,177000.0,202000.0,233000.0,301000.0,366000.0,399000.0,413000.0,435000.0,443000.0,470000.0,469000.0,452000.0,463000.0,523000.0,545000.0,566000.0,557000.0
BTN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2260.0,19100.0,36000.0,82100.0,149000.0,253000.0,339000.0,394000.0,484000.0,561000.0,544000.0,625000.0,676000.0,698000.0,731000.0,704000.0,729000.0
BWA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15200.0,92000.0,222000.0,332000.0,332000.0,445000.0,523000.0,564000.0,823000.0,1150000.0,1490000.0,1870000.0,2360000.0,2900000.0,3080000.0,3250000.0,3410000.0,3480000.0,3290000.0,3240000.0,3380000.0,4000000.0
CAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,1070.0,1370.0,1630.0,4160.0,4970.0,11000.0,12600.0,40000.0,60000.0,100000.0,110000.0,340000.0,570000.0,864000.0,979000.0,992000.0,1140000.0,1360000.0,1160000.0,1240000.0,1250000.0,1180000.0,1280000.0,1530000.0
CAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,60000.0,98400.0,203000.0,345000.0,584000.0,776000.0,1030000.0,1330000.0,1870000.0,2590000.0,3500000.0,4200000.0,5350000.0,6910000.0,8730000.0,10600000.0,11900000.0,13300000.0,15000000.0,17000000.0,18700000.0,20300000.0,22100000.0,23800000.0,25800000.0,26800000.0,27700000.0,28400000.0,28800000.0,29800000.0,30800000.0,31700000.0,33200000.0,34600000.0
CHE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5480.0,30800.0,72700.0,125000.0,175000.0,215000.0,258000.0,332000.0,447000.0,663000.0,1040000.0,1700000.0,3060000.0,4640000.0,5280000.0,5740000.0,6190000.0,6270000.0,6830000.0,7440000.0,8210000.0,8900000.0,9320000.0,9640000.0,10100000.0,10600000.0,11000000.0,11200000.0,11200000.0,11200000.0,11100000.0,10800000.0,10900000.0
CHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4890.0,13900.0,36100.0,64400.0,85200.0,116000.0,197000.0,319000.0,410000.0,964000.0,2260000.0,3400000.0,5100000.0,6240000.0,7270000.0,9260000.0,10600000.0,12500000.0,14000000.0,14800000.0,16500000.0,19900000.0,22300000.0,23900000.0,23700000.0,23700000.0,23200000.0,23300000.0,23000000.0,25200000.0,25100000.0
